Product_ID,Product_Name,Form,Ashwagandha,Triphala,Amalaki,Haritaki,Bibhitaki,Neem,Tulsi,Brahmi,Shankhpushpi,Turmeric,Ginger,Garlic,Clove,Cardamom,Cinnamon,Pepper,Licorice,Guduchi,Shatavari,AloeVera,Moringa,Fenugreek,Cumin,Coriander,Mustard,Saffron,Nutmeg,Fennel,Camphor,Jatamansi,Kesar,Pippali,Punarnava,Arjuna,Guggulu,Manjistha,Kalonji,Baheda,Giloy,Daruharidra,Vidanga,Hibiscus,AmlaOil,Ashoka,Bhringraj,SafedMusli,KaunchBeej,Palash,Agarwood,Chitrak,Proportion_Others,Price,Dosage(g),Shelf_Life(months),Preparation_Method,Speciality
P0023,Product_23,Powder,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.03,0.02,0,0.01,0.01,0.02,0,0.02,0.02,0.03,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.09,919,0.32,12,Extract,Respiratory Health
P0024,Product_24,Paste,0,0.01,0.03,0.04,0,0,0,0,0.04,0,0.01,0.02,0.02,0.03,0.02,0,0.03,0.04,0.02,0.01,0.03,0.03,0.01,0.01,0.04,0.01,0.02,0.02,0.02,0.03,0.01,0.03,0.04,0.01,0.01,0,0.03,0.04,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.04,0.01,0.01,0.1,528,0.6,18,Extract,Cardiac Health
P0025,Product_25,Powder,0.02,0.04,0.01,0.03,0.01,0,0.03,0.02,0.03,0.02,0.01,0.02,0,0.01,0.02,0.02,0.03,0,0.01,0,0.03,0.01,0,0.02,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.02,0,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.11,265,0.25,18,Fermentation,Skin Disorders
P0026,Product_26,Decoction,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.03,0.02,0.03,0.03,0.03,0.01,0.01,0.02,0,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0,0.01,0.03,0.03,0.04,0,0.02,0,0.01,0,0.02,0.01,0.02,0.02,0.01,0.04,0.04,0.01,0.03,0.02,0.1,857,0.21,24,Extract,Respiratory Health
P0027,Product_27,Decoction,0.02,0.02,0,0.01,0.03,0.02,0.03,0.03,0.02,0.01,0.01,0.03,0.02,0.03,0.03,0.01,0.02,0,0.01,0.03,0.03,0.02,0.03,0,0.03,0.02,0.02,0.02,0.02,0.03,0,0.01,0.01,0.02,0.02,0.03,0.03,0,0,0.02,0.02,0.01,0.01,0.03,0.01,0,0.01,0.01,0.03,0,0.13,452,0.35,12,Extract,Liver Detox
P0028,Product_28,Powder,0.01,0.02,0.02,0,0.01,0.03,0.03,0.03,0.01,0.01,0,0.01,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0,0.03,0.02,0.01,0.02,0.03,0,0.02,0.02,0.03,0,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.03,0.01,0.03,0,0.02,0.01,0.02,0.12,438,0.56,24,Fermentation,Memory & Cognition
P0029,Product_29,Capsule,0.02,0.02,0.04,0.03,0.01,0.02,0.01,0,0.02,0.01,0.01,0.01,0.02,0.01,0,0.01,0.03,0.02,0.03,0,0.03,0.01,0.02,0.02,0.01,0.04,0.01,0,0.03,0.02,0.03,0.03,0,0.03,0,0.02,0.01,0.03,0.01,0,0.01,0,0.03,0.01,0.01,0.01,0.03,0.03,0.01,0.03,0.16,284,0.38,12,Extract,Women's Health
P0030,Product_30,Capsule,0,0.01,0.01,0.02,0.02,0.01,0,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0,0.01,0.02,0.02,0.03,0.03,0.02,0,0.01,0.02,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.03,0.02,0.01,0.11,579,0.34,18,Extract,Memory & Cognition
P0031,Product_31,Decoction,0.03,0.02,0.02,0.02,0.03,0,0,0.01,0.03,0.03,0.03,0,0,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0,0.01,0,0.02,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.03,0,0.01,0,0.02,0,0.02,0,0.13,218,0.58,12,Extract,Diabetes Management
P0032,Product_32,Syrup,0.02,0.03,0.01,0.01,0.02,0,0.03,0.01,0.02,0.02,0,0.01,0.03,0.02,0.01,0.03,0,0.01,0,0.03,0.02,0.03,0.03,0.01,0.03,0.02,0.03,0.02,0.03,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0,0.02,0.01,0.02,0,0.03,0.01,0.03,0,0.02,0.13,637,0.29,18,PowderBlend,Liver Detox
P0033,Product_33,Tablet,0.01,0.02,0.02,0.03,0.02,0,0,0.01,0,0.02,0.04,0.01,0.02,0,0.01,0,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.03,0.03,0.02,0,0.02,0.01,0,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.04,0.02,0.01,0.02,0.03,0.09,680,0.29,24,Decoction,Hair & Scalp Care
P0034,Product_34,Powder,0.02,0.03,0,0,0.01,0.01,0.03,0.01,0.02,0.03,0,0.03,0.03,0.01,0.01,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.01,0.03,0.01,0,0.01,0.03,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0,0.03,0.01,0.03,0,0.03,0.02,0.01,0.03,0.11,169,0.51,18,Extract,Women's Health
P0035,Product_35,Capsule,0.01,0.03,0.03,0.03,0,0.03,0.02,0.01,0.02,0.01,0,0.02,0.03,0.03,0.02,0.02,0,0.01,0.01,0.03,0.02,0.03,0,0.01,0.01,0.04,0.01,0.01,0.04,0.01,0.04,0.03,0,0.01,0.01,0,0.02,0.01,0.03,0.02,0.03,0.01,0.03,0.03,0.01,0.02,0,0.01,0.02,0.03,0.1,772,0.55,24,PowderBlend,Kidney Care
P0036,Product_36,Powder,0.02,0.03,0.03,0.03,0.01,0.02,0.01,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.01,0,0.01,0.02,0.01,0.03,0.01,0,0.03,0,0.01,0.01,0.02,0.03,0,0.03,0.02,0.01,0.03,0.02,0,0.01,0.02,0,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.03,0.03,0.02,0.11,289,0.38,12,Extract,Digestive Cleanser
P0037,Product_37,Syrup,0.02,0.03,0.01,0.03,0.01,0,0.03,0,0.03,0.02,0.02,0.01,0.02,0.03,0.01,0.02,0.03,0.01,0.03,0.01,0,0.02,0,0.02,0.03,0.01,0.02,0.01,0,0.02,0.04,0.03,0,0.03,0.02,0.02,0.02,0.02,0,0.01,0.01,0.03,0.02,0.02,0.01,0.04,0.02,0.02,0.01,0.01,0.12,460,0.5,18,Fermentation,Hair & Scalp Care
P0038,Product_38,Syrup,0.04,0.01,0.02,0,0.03,0,0,0.01,0.01,0.01,0.03,0,0.03,0.03,0,0.01,0.01,0.04,0.01,0.03,0.03,0.04,0,0.03,0,0.02,0.03,0.04,0.02,0.02,0.03,0.01,0.01,0,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0,0.03,0.02,0.02,0,0,0.03,0.03,0.1,999,0.48,18,Extract,Stress & Anxiety
P0039,Product_39,Paste,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.01,0.03,0,0.03,0.04,0.02,0.01,0,0.02,0.02,0.02,0.01,0.01,0.03,0.04,0.01,0.01,0.02,0,0,0.02,0,0.02,0.02,0,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.04,0.01,0,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.11,184,0.44,12,Fermentation,Memory & Cognition
P0040,Product_40,Capsule,0.01,0.03,0.03,0.01,0.04,0.01,0,0.02,0.02,0.01,0.04,0.03,0.02,0.03,0,0,0.03,0,0.01,0.02,0.02,0,0.03,0.02,0,0.01,0.02,0.03,0.02,0.01,0.03,0.03,0.02,0,0.04,0.03,0.02,0.02,0,0.01,0.02,0.01,0.01,0.04,0.02,0.01,0.03,0.01,0.02,0,0.11,113,0.27,12,Fermentation,Liver Detox
P0041,Product_41,Paste,0.01,0.03,0.02,0.02,0.02,0,0.03,0.03,0.01,0.02,0,0.02,0.03,0.01,0.03,0.03,0.02,0.01,0.03,0,0.01,0.03,0,0.02,0.02,0.01,0.01,0,0.03,0.02,0.03,0.02,0.02,0.01,0,0.03,0.01,0.03,0.02,0.03,0.03,0.02,0.03,0,0.01,0.01,0.01,0.02,0.03,0.02,0.1,518,0.51,18,TabletCompression,Cardiac Health
P0042,Product_42,Tablet,0.03,0.01,0.02,0.04,0,0.03,0.03,0.01,0,0.01,0.03,0.01,0.02,0.02,0.03,0.04,0.01,0.02,0.03,0,0,0.02,0.02,0.03,0.03,0.04,0.02,0,0.02,0.02,0.03,0.02,0,0.03,0.03,0.01,0,0.01,0.01,0,0.02,0.02,0.02,0,0,0,0.02,0.03,0.03,0.03,0.1,459,0.26,36,TabletCompression,Immunity Booster
P0043,Product_43,Syrup,0.03,0.01,0.01,0.02,0.03,0.01,0,0.03,0,0.02,0,0.02,0.02,0.03,0.03,0,0,0.01,0,0.03,0,0.03,0.02,0.02,0.03,0.01,0.03,0,0.03,0.01,0,0.03,0.01,0.03,0.03,0.01,0.02,0.01,0.03,0.01,0.03,0.02,0.01,0.03,0.01,0.02,0.03,0.02,0.03,0.02,0.12,826,0.21,36,PowderBlend,Kidney Care
P0044,Product_44,Capsule,0,0.02,0.01,0.01,0.03,0.02,0.03,0.02,0.03,0.02,0,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.03,0.01,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.03,0.02,0,0.03,0.02,0.02,0.03,0.01,0.09,110,0.54,36,PowderBlend,Weight Loss
P0045,Product_45,Tablet,0,0.02,0.02,0.01,0,0.02,0.01,0,0.01,0.02,0.02,0.01,0.03,0.03,0.01,0.02,0.02,0,0.02,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0.03,0.03,0,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.03,0.01,0.16,669,0.3,36,TabletCompression,Immunity Booster
P0046,Product_46,Syrup,0,0,0.03,0.03,0.02,0.01,0.01,0.03,0.02,0.02,0.03,0,0.03,0.02,0.02,0,0,0.02,0.03,0.01,0.03,0.03,0,0.02,0.03,0.02,0,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.04,0,0.02,0.02,0.01,0.02,0.01,0.04,0,0.12,128,0.49,18,Decoction,Diabetes Management
P0047,Product_47,Powder,0.03,0.03,0,0,0.04,0,0.03,0.01,0.01,0,0.03,0.03,0.04,0.01,0,0.02,0.01,0,0.01,0.03,0,0.02,0,0,0.02,0.03,0.03,0.01,0.02,0.02,0,0.02,0.01,0,0.03,0.03,0.01,0.04,0.03,0,0.01,0.03,0.02,0.02,0.03,0.03,0.01,0.03,0.02,0.02,0.13,994,0.57,36,PowderBlend,Kidney Care
P0048,Product_48,Tablet,0.03,0.02,0.03,0,0.03,0.01,0,0.03,0.01,0.01,0,0.03,0.02,0.01,0.02,0,0,0.01,0.02,0.02,0,0.02,0.01,0.01,0.03,0.02,0,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0,0.02,0.02,0.03,0.03,0,0.01,0,0.03,0.01,0.03,0.03,0.02,0.01,0.03,0.14,779,0.6,24,Decoction,Memory & Cognition
P0049,Product_49,Syrup,0.03,0.03,0,0.01,0.01,0.02,0.03,0.03,0.01,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0,0.02,0.02,0.02,0.01,0.02,0.03,0.01,0.01,0.03,0.03,0,0.02,0.02,0.02,0.02,0.03,0,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0,0.01,0.03,0,0.01,0.02,0.03,0,0.01,0.12,881,0.51,24,Decoction,Stress & Anxiety
P0050,Product_50,Decoction,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0,0.03,0,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.03,0.03,0,0,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0.03,0.07,410,0.33,24,Decoction,Digestive Cleanser
P0051,Product_51,Syrup,0.03,0.03,0.02,0.02,0.02,0,0.04,0.02,0.01,0.02,0.01,0.01,0.03,0.03,0.02,0.02,0,0.02,0,0.02,0,0.03,0.03,0.01,0.03,0,0.02,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0.03,0.02,0.01,0.04,0.01,0.03,0.04,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.02,0.1,358,0.45,24,PowderBlend,Weight Loss
P0052,Product_52,Tablet,0.03,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.03,0.01,0.02,0.01,0.03,0.03,0.02,0,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.02,0.03,0.02,0.02,0,0.02,0.01,0.03,0,0,0.01,0,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.11,323,0.3,36,PowderBlend,Stress & Anxiety
P0053,Product_53,Powder,0.03,0.01,0.03,0.03,0.03,0.02,0,0,0.03,0.01,0.03,0.04,0.02,0.03,0.02,0,0,0.03,0.03,0.01,0.03,0.04,0.03,0.03,0.01,0.01,0.01,0,0,0.01,0,0.03,0.01,0.03,0.01,0,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.02,0,0.03,0.01,0.02,0.02,0.11,187,0.6,24,Fermentation,Skin Disorders
P0054,Product_54,Tablet,0,0.01,0.03,0.02,0,0.01,0.03,0.01,0.01,0.01,0,0,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.03,0.03,0.03,0.03,0,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.03,0,0.01,0,0.01,0.02,0,0.12,280,0.4,12,TabletCompression,Digestive Cleanser
P0055,Product_55,Tablet,0.01,0.03,0.01,0.02,0.01,0.01,0,0.02,0.01,0.04,0,0.01,0.03,0.01,0.01,0.03,0,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0,0,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.01,0,0.03,0.03,0.04,0,0.03,0.02,0.01,0.02,0.02,0.02,0,0.03,0.03,0.13,638,0.55,24,Fermentation,Cardiac Health
P0056,Product_56,Capsule,0.01,0.01,0.02,0.02,0.01,0.01,0,0.02,0.03,0.02,0.03,0.03,0.01,0,0.01,0.01,0.03,0.03,0.02,0.03,0.02,0,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.04,0.01,0.01,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.03,0.03,0.01,0.01,0,0.03,0.01,0.03,0.03,0.05,261,0.32,12,TabletCompression,Hair & Scalp Care
P0057,Product_57,Tablet,0.02,0.01,0.01,0.02,0,0.03,0.03,0.03,0,0.02,0.03,0.03,0.01,0.03,0,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.03,0,0.02,0.02,0.03,0.02,0.01,0,0.01,0.03,0.01,0.02,0.03,0.01,0.03,0.01,0,0.03,0,0.02,0.03,0.01,0.01,0.02,0.02,0.03,0.02,0.1,104,0.22,12,PowderBlend,Hair & Scalp Care
P0058,Product_58,Syrup,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.01,0.03,0.04,0.03,0.03,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0.04,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.03,0.01,0.03,0,0.01,0.03,0,0.01,0.03,0.02,0,0.02,0.02,0,0.03,0.01,0.16,242,0.28,12,Fermentation,Respiratory Health
